"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6636","User can login with valid credentials","","2026-05-29","passed","2026-05-29","","","",""
"","6943","@Web Popup validations","chromium","2026-05-29","passed","2026-05-29","","PopUpValidations.spec.ts","",""
